"File","Name","Imports","Lines"
"src\stores\developmentGoals.store.ts","developmentGoals.store.ts","1","106"
"src\shared\utils\defaultPercentagesPropagation.ts","defaultPercentagesPropagation.ts","1","50"
"src\application\services\earnedValueCalculator.ts","earnedValueCalculator.ts","1","9"
"src\application\services\decisionSupportService.ts","decisionSupportService.ts","1","1270"
"src\presentation\pages\Tenders\TenderPricing\sections\MaterialsSection.tsx","MaterialsSection.tsx","1","166"
"src\presentation\pages\Tenders\TenderPricing\utils\exportUtils.ts","exportUtils.ts","1","139"
"src\repository\providers\budget.local.ts","budget.local.ts","1","153"
"src\config\onboarding-tours.ts","onboarding-tours.ts","1","227"
"src\config\keyboard-shortcuts.ts","keyboard-shortcuts.ts","1","435"
"src\repository\providers\client.local.ts","client.local.ts","1","46"
"src\presentation\pages\Tenders\TenderPricing\sections\LaborSection.tsx","LaborSection.tsx","1","154"
"src\presentation\pages\Tenders\TenderPricing\sections\EquipmentSection.tsx","EquipmentSection.tsx","1","154"
"src\presentation\pages\Tenders\TendersPage.tsx","TendersPage.tsx","1","346"
"src\application\services\kpi\kpiResolvers.ts","kpiResolvers.ts","1","37"
"src\repository\providers\project\ProjectRelationsRepository.ts","ProjectRelationsRepository.ts","1","287"
"src\application\context\NavigationContext.tsx","NavigationContext.tsx","1","6"
"src\repository\providers\project\ProjectQueryRepository.ts","ProjectQueryRepository.ts","1","168"
"src\repository\providers\boq.local.ts","boq.local.ts","1","40"
"src\domain\services\cashflowService.ts","cashflowService.ts","1","154"
"src\repository\providers\bankAccount.local.ts","bankAccount.local.ts","1","153"
"src\presentation\pages\Tenders\TenderPricing\sections\SubcontractorsSection.tsx","SubcontractorsSection.tsx","1","154"
"src\presentation\pages\Tenders\TenderPricing\utils\parseQuantityItems.ts","parseQuantityItems.ts","1","274"
"src\presentation\pages\Tenders\TenderPricingPage.tsx","TenderPricingPage.tsx","1","734"
"src\repository\providers\purchaseOrder.local.ts","purchaseOrder.local.ts","1","123"
"src\presentation\pages\Tenders\TenderPricing\hooks\useSummaryOperations.ts","useSummaryOperations.ts","1","323"
"src\presentation\pages\Tenders\TenderPricing\hooks\usePricingValidation.ts","usePricingValidation.ts","1","219"
"src\repository\providers\relations.local.ts","relations.local.ts","1","177"
"src\repository\migrations\project-schema-migration.ts","project-schema-migration.ts","1","249"
"src\repository\providers\developmentGoals.local.ts","developmentGoals.local.ts","1","111"
"src\presentation\pages\Tenders\TenderPricing\hooks\useTenderPricingState.ts","useTenderPricingState.ts","1","74"
"src\repository\providers\financialReport.local.ts","financialReport.local.ts","1","137"
"src\repository\providers\invoice.local.ts","invoice.local.ts","1","158"
"src\api\auth\apiKeyService.ts","apiKeyService.ts","2","281"
"src\types\scheduling.ts","scheduling.ts","2","248"
"src\presentation\components\tenders\TenderPerformanceCards.tsx","TenderPerformanceCards.tsx","2","203"
"src\presentation\components\toast\index.ts","index.ts","2","14"
"src\api\auth\authService.ts","authService.ts","2","351"
"src\api\auth\index.ts","index.ts","2","29"
"src\shared\utils\projectStatusHelpers.tsx","projectStatusHelpers.tsx","2","55"
"src\presentation\components\ui\layout\ActionBar.tsx","ActionBar.tsx","2","64"
"src\shared\utils\index.ts","index.ts","2","70"
"src\presentation\components\ui\accordion.tsx","accordion.tsx","2","64"
"src\shared\utils\exporters.ts","exporters.ts","2","63"
"src\stores\middleware\index.ts","index.ts","2","13"
"src\types\index.ts","index.ts","2","4"
"src\presentation\components\toast\ToastProvider.tsx","ToastProvider.tsx","2","75"
"src\stores\index.ts","index.ts","2","41"
"src\application\hooks\useProjectAggregates.ts","useProjectAggregates.ts","2","61"
"src\application\hooks\useKPIMetrics.ts","useKPIMetrics.ts","2","44"
"src\presentation\components\tenders\TenderDetails.tsx","TenderDetails.tsx","2","548"
"src\presentation\components\tenders\TenderDetails\tabs\AttachmentsTab.tsx","AttachmentsTab.tsx","2","59"
"src\utils\excelProcessor.ts","excelProcessor.ts","2","171"
"src\utils\exporters.ts","exporters.ts","2","27"
"src\presentation\components\tenders\TenderDetails\tabs\TimelineTab.tsx","TimelineTab.tsx","2","70"
"src\presentation\components\tenders\TenderDetails\tabs\index.ts","index.ts","2","6"
"src\utils\dateFormatters.ts","dateFormatters.ts","2","228"
"src\presentation\components\tenders\TenderDetails\components\TenderInfoCard.tsx","TenderInfoCard.tsx","2","46"
"src\application\services\performance\optimization.service.ts","optimization.service.ts","2","423"
"src\shared\constants\index.ts","index.ts","2","3"
"src\presentation\pages\Tenders\TenderPricing\hooks\useTenderPricingCalculations.ts","useTenderPricingCalculations.ts","2","378"
"src\presentation\pages\Tenders\TenderPricing\hooks\usePricingRowOperations.ts","usePricingRowOperations.ts","2","366"
"src\presentation\components\tenders\TenderDetails\hooks\index.ts","index.ts","2","5"
"src\types\workflowAutomation.ts","workflowAutomation.ts","2","552"
"src\presentation\components\tenders\PricingTemplateManager.tsx","PricingTemplateManager.tsx","2","694"
"src\presentation\pages\Tenders\TenderPricing\components\PricingSummary.tsx","PricingSummary.tsx","2","144"
"src\presentation\components\tenders\TenderBasicInfoSection.tsx","TenderBasicInfoSection.tsx","2","334"
"src\presentation\components\tenders\RiskAssessmentMatrix.tsx","RiskAssessmentMatrix.tsx","2","899"
"src\presentation\components\tenders\QuantityTableSection.tsx","QuantityTableSection.tsx","2","233"
"src\presentation\components\tenders\EnhancedTenderCard.tsx","EnhancedTenderCard.tsx","2","698"
"src\presentation\components\tenders\AttachmentsSection.tsx","AttachmentsSection.tsx","2","157"
"src\utils\buttonStyles.ts","buttonStyles.ts","2","93"
"src\presentation\components\tenders\index.ts","index.ts","2","31"
"src\utils\analyticsExport.ts","analyticsExport.ts","2","371"
"src\utils\boqCalculations.ts","boqCalculations.ts","2","166"
"src\repository\purchaseOrder.repository.ts","purchaseOrder.repository.ts","2","13"
"src\application\hooks\useBankAccounts.ts","useBankAccounts.ts","2","129"
"src\shared\config\design\index.ts","index.ts","2","17"
"src\repository\financialReport.repository.ts","financialReport.repository.ts","2","12"
"src\repository\invoice.repository.ts","invoice.repository.ts","2","12"
"src\presentation\pages\Financial\components\ExcelDataProcessor.tsx","ExcelDataProcessor.tsx","2","780"
"src\presentation\pages\Projects\components\ProjectCostAnalyzer.tsx","ProjectCostAnalyzer.tsx","2","258"
"src\shared\config\projectTabsConfig.ts","projectTabsConfig.ts","2","131"
"src\repository\providers\project\ProjectHelpers.ts","ProjectHelpers.ts","2","158"
